Brand,Name,Quantity,Sealed,Expires / Best Before,Cost,Sow Indoors,Sow Outdoors,Plant Out,Harvest,Flowers,Light condition,Pots,Notes,"Anual, Bienial, Perenial",Cutting,Drying,Cattegory
Thompson & Morgan,Oriental Mustard,0.5,12/2024,12/2026,2.69,Jan - Dec,Mar - Sep,Mar - Sep,Jun - Nov,,,,,,,,Salad
Unwins,Pepper Chili Sizzler,0.5,10/2024,,,Feb - Apr,,,Jun - Oct,,,,Pots only,,,,Veg
Lidl,Pot Marigold Fiesta Gianta Mixed,0.5,,,,,,,,,,,,,,,Flower
Unwins,Pumpkin Rocket F1,0.5,01/2025,,,Mar - May,May,,Sep - Oct,,,,,,,,Veg
Unwins,Runner Bean (White Lady),0.5,,,,Apr - May,May - Jun,,Aug - Sep,,,,,,,,Veg
Asda,Spinach Alameda,0.5,01/2024,12/2026,0.75,,Mar - Aug,,May - Oct,,,,,,,,Herb
Lidl,Statice Mixed,1,2025,12/2027,,Mar - ?,End Apr,,,,,,,,,,Flower
Unwins,Tomato Cherry Plumb Celano F1,0.5,08/2024,,3.49,Feb - Apr,,,Jul - Sep,,,,,,,,Fruit
Unwins,Tomato Moneymaker 2023,0.5,03/2023,12/2025,2.49,Jan - May,,,Jul - Sep,,,,,,,,Fruit
Unwins,Tomato Moneymaker 2024,1,04/2024,,2.49,Feb - Apr,,,Jul - Sep,,,,,,,,Fruit
